date,year,location,species,type,count
6/26,2004,Kogrukluk River,Coho,Counted Live,0
6/26,2004,Kogrukluk River,Sockeye,Counted Live,0
6/26,2005,Kogrukluk River,Chinook,Counted Live,58
6/26,2005,Kogrukluk River,Chum,Counted Live,16
6/26,2005,Kogrukluk River,Coho,Counted Live,0
6/26,2005,Kogrukluk River,Sockeye,Counted Live,1
6/26,2006,Kogrukluk River,Chinook,Estimated,0
6/26,2006,Kogrukluk River,Chum,Estimated,0
6/26,2006,Kogrukluk River,Coho,Estimated,0
6/26,2006,Kogrukluk River,Sockeye,Estimated,0
6/26,2007,Kogrukluk River,Chinook,Counted Live,0
6/26,2007,Kogrukluk River,Chum,Estimated,0
6/26,2007,Kogrukluk River,Coho,Estimated,0
6/26,2007,Kogrukluk River,Sockeye,Estimated,0
6/26,2008,Kogrukluk River,Chinook,Estimated,0
6/26,2008,Kogrukluk River,Chum,Estimated,0
6/26,2008,Kogrukluk River,Coho,Estimated,0
6/26,2008,Kogrukluk River,Sockeye,Estimated,0
6/26,2009,Kogrukluk River,Chinook,Counted Live,0
6/26,2009,Kogrukluk River,Chum,Counted Live,10
6/26,2009,Kogrukluk River,Coho,Counted Live,0
6/26,2009,Kogrukluk River,Sockeye,Counted Live,0
6/26,2010,Kogrukluk River,Chinook,Estimated,0
6/26,2010,Kogrukluk River,Chum,Estimated,0
6/26,2010,Kogrukluk River,Coho,Estimated,0
6/26,2010,Kogrukluk River,Sockeye,Estimated,0
6/26,2011,Kogrukluk River,Chinook,Counted Live,0
6/26,2011,Kogrukluk River,Chum,Counted Live,5
6/26,2011,Kogrukluk River,Coho,Counted Live,0
6/26,2011,Kogrukluk River,Sockeye,Counted Live,0
6/26,2012,Kogrukluk River,Coho,Estimated,0
6/26,2013,Kogrukluk River,Chinook,Estimated,0
6/26,2013,Kogrukluk River,Chum,Estimated,0
6/26,2013,Kogrukluk River,Coho,Estimated,0
6/26,2013,Kogrukluk River,Sockeye,Estimated,0
6/26,2014,Kogrukluk River,Chinook,Counted Live,2
6/26,2014,Kogrukluk River,Chum,Counted Live,34
6/26,2014,Kogrukluk River,Coho,Counted Live,0
6/26,2014,Kogrukluk River,Sockeye,Counted Live,0
6/26,2015,Kogrukluk River,Chinook,Counted Live,2
6/26,2015,Kogrukluk River,Chum,Counted Live,12
6/26,2015,Kogrukluk River,Coho,Counted Live,0
6/26,2015,Kogrukluk River,Sockeye,Counted Live,0
6/26,2016,Kogrukluk River,Chinook,Counted Live,21
6/26,2016,Kogrukluk River,Chum,Counted Live,16
6/26,2016,Kogrukluk River,Coho,Counted Live,0
6/26,2016,Kogrukluk River,Sockeye,Counted Live,0
6/26,2017,Kogrukluk River,Chinook,Counted Live,1
6/26,2017,Kogrukluk River,Chum,Counted Live,38
6/26,2017,Kogrukluk River,Coho,Counted Live,0
6/26,2017,Kogrukluk River,Sockeye,Counted Live,0
6/27,1976,Kogrukluk River,Chinook,Estimated,0
6/27,1976,Kogrukluk River,Chum,Estimated,0
6/27,1976,Kogrukluk River,Sockeye,Estimated,0
6/27,1978,Kogrukluk River,Chinook,Estimated,0
6/27,1978,Kogrukluk River,Chum,Estimated,0
