date,year,location,species,type,count
6/17,2002,Tuluksak River,Sockeye,Counted Live,0
6/17,2003,Tuluksak River,Chinook,Counted Live,0
6/17,2003,Tuluksak River,Chum,Counted Live,0
6/17,2003,Tuluksak River,Coho,Counted Live,0
6/17,2003,Tuluksak River,Pink,Counted Live,0
6/17,2003,Tuluksak River,Sockeye,Counted Live,0
6/17,2010,Tuluksak River,Sockeye,Counted Live,0
6/17,2015,Tuluksak River,Chinook,Counted Live,0
6/17,2016,Tuluksak River,Chinook,Counted Live,0
6/17,2016,Tuluksak River,Chum,Counted Live,0
6/17,2016,Tuluksak River,Coho,Counted Live,0
6/17,2016,Tuluksak River,Sockeye,Counted Live,0
6/17,2017,Tuluksak River,Chinook,Counted Live,0
6/17,2017,Tuluksak River,Chum,Counted Live,0
6/17,2017,Tuluksak River,Coho,Counted Live,0
6/17,2017,Tuluksak River,Sockeye,Estimated,0
6/18,1991,Tuluksak River,Chinook,Counted Live,0
6/18,1991,Tuluksak River,Chum,Counted Live,0
6/18,1991,Tuluksak River,Coho,Counted Live,0
6/18,1991,Tuluksak River,Pink,Counted Live,0
6/18,1991,Tuluksak River,Sockeye,Counted Live,0
6/18,1993,Tuluksak River,Chinook,Counted Live,0
6/18,1993,Tuluksak River,Chum,Counted Live,1
6/18,1993,Tuluksak River,Coho,Counted Live,0
6/18,1993,Tuluksak River,Pink,Counted Live,0
6/18,1993,Tuluksak River,Sockeye,Counted Live,0
6/18,2002,Tuluksak River,Chinook,Counted Live,0
6/18,2002,Tuluksak River,Chum,Counted Live,0
6/18,2002,Tuluksak River,Coho,Counted Live,0
6/18,2002,Tuluksak River,Pink,Counted Live,0
6/18,2002,Tuluksak River,Sockeye,Counted Live,0
6/18,2003,Tuluksak River,Chinook,Counted Live,0
6/18,2003,Tuluksak River,Chum,Counted Live,0
6/18,2003,Tuluksak River,Coho,Counted Live,0
6/18,2003,Tuluksak River,Pink,Counted Live,0
6/18,2003,Tuluksak River,Sockeye,Counted Live,0
6/18,2010,Tuluksak River,Sockeye,Counted Live,0
6/18,2015,Tuluksak River,Chinook,Counted Live,0
6/18,2016,Tuluksak River,Chinook,Counted Live,0
6/18,2016,Tuluksak River,Chum,Counted Live,0
6/18,2016,Tuluksak River,Coho,Counted Live,0
6/18,2016,Tuluksak River,Sockeye,Counted Live,0
6/18,2017,Tuluksak River,Chinook,Counted Live,0
6/18,2017,Tuluksak River,Chum,Counted Live,0
6/18,2017,Tuluksak River,Coho,Counted Live,0
6/18,2017,Tuluksak River,Sockeye,Estimated,0
6/19,1991,Tuluksak River,Chinook,Counted Live,0
6/19,1991,Tuluksak River,Chum,Counted Live,1
6/19,1991,Tuluksak River,Coho,Counted Live,0
6/19,1991,Tuluksak River,Pink,Counted Live,0
6/19,1991,Tuluksak River,Sockeye,Counted Live,0
6/19,1993,Tuluksak River,Chinook,Counted Live,0
6/19,1993,Tuluksak River,Chum,Counted Live,1
6/19,1993,Tuluksak River,Coho,Counted Live,0
6/19,1993,Tuluksak River,Pink,Counted Live,0
6/19,1993,Tuluksak River,Sockeye,Counted Live,0
6/19,2002,Tuluksak River,Chinook,Counted Live,0
6/19,2002,Tuluksak River,Chum,Counted Live,0
6/19,2002,Tuluksak River,Coho,Counted Live,0
6/19,2002,Tuluksak River,Pink,Counted Live,0
6/19,2002,Tuluksak River,Sockeye,Counted Live,0
6/19,2003,Tuluksak River,Chinook,Counted Live,0
6/19,2003,Tuluksak River,Chum,Counted Live,0
6/19,2003,Tuluksak River,Coho,Counted Live,0
6/19,2003,Tuluksak River,Pink,Counted Live,0
6/19,2003,Tuluksak River,Sockeye,Counted Live,0
6/19,2010,Tuluksak River,Sockeye,Counted Live,0
6/19,2011,Tuluksak River,Chinook,Counted Live,0
6/19,2011,Tuluksak River,Chum,Counted Live,0
6/19,2011,Tuluksak River,Coho,Counted Live,0
6/19,2011,Tuluksak River,Pink,Counted Live,0
6/19,2011,Tuluksak River,Sockeye,Counted Live,0
6/19,2015,Tuluksak River,Chinook,Counted Live,0
6/19,2015,Tuluksak River,Chum,Counted Live,3
6/19,2016,Tuluksak River,Chinook,Counted Live,0
6/19,2016,Tuluksak River,Chum,Counted Live,0
6/19,2016,Tuluksak River,Coho,Counted Live,0
6/19,2016,Tuluksak River,Sockeye,Counted Live,1
6/19,2017,Tuluksak River,Chinook,Counted Live,0
6/19,2017,Tuluksak River,Chum,Counted Live,0
6/19,2017,Tuluksak River,Coho,Counted Live,0
6/19,2017,Tuluksak River,Sockeye,Estimated,0
6/20,1991,Tuluksak River,Chinook,Counted Live,0
6/20,1991,Tuluksak River,Chum,Counted Live,0
6/20,1991,Tuluksak River,Coho,Counted Live,0
6/20,1991,Tuluksak River,Pink,Counted Live,0
6/20,1991,Tuluksak River,Sockeye,Counted Live,0
6/20,1993,Tuluksak River,Chinook,Counted Live,0
6/20,1993,Tuluksak River,Chum,Counted Live,0
6/20,1993,Tuluksak River,Coho,Counted Live,0
6/20,1993,Tuluksak River,Pink,Counted Live,0
6/20,1993,Tuluksak River,Sockeye,Counted Live,0
6/20,2002,Tuluksak River,Chinook,Counted Live,0
6/20,2002,Tuluksak River,Chum,Counted Live,0
6/20,2002,Tuluksak River,Coho,Counted Live,0
6/20,2002,Tuluksak River,Pink,Counted Live,0
6/20,2002,Tuluksak River,Sockeye,Counted Live,0
6/20,2003,Tuluksak River,Chinook,Counted Live,0
6/20,2003,Tuluksak River,Chum,Counted Live,0
6/20,2003,Tuluksak River,Coho,Counted Live,0
