date,year,location,species,type,count
6/25,2004,Takotna River,Coho,Counted Live,0
6/25,2004,Takotna River,Sockeye,Counted Live,0
6/25,2005,Takotna River,Chinook,Counted Live,0
6/25,2005,Takotna River,Chum,Counted Live,4
6/25,2005,Takotna River,Coho,Counted Live,0
6/25,2005,Takotna River,Sockeye,Counted Live,0
6/25,2006,Takotna River,Chinook,Counted Live,1
6/25,2006,Takotna River,Chum,Counted Live,21
6/25,2006,Takotna River,Coho,Counted Live,0
6/25,2006,Takotna River,Sockeye,Counted Live,0
6/25,2007,Takotna River,Chinook,Counted Live,0
6/25,2007,Takotna River,Chum,Counted Live,8
6/25,2007,Takotna River,Coho,Counted Live,0
6/25,2007,Takotna River,Sockeye,Counted Live,0
6/25,2008,Takotna River,Chinook,Counted Live,1
6/25,2008,Takotna River,Chum,Counted Live,12
6/25,2008,Takotna River,Coho,Counted Live,0
6/25,2008,Takotna River,Sockeye,Counted Live,0
6/25,2009,Takotna River,Chinook,Counted Live,0
6/25,2009,Takotna River,Chum,Counted Live,13
6/25,2009,Takotna River,Coho,Counted Live,0
6/25,2009,Takotna River,Sockeye,Counted Live,0
6/25,2010,Takotna River,Chinook,Estimated,0
6/25,2010,Takotna River,Chum,Estimated,0
6/25,2010,Takotna River,Coho,Estimated,0
6/25,2011,Takotna River,Chinook,Estimated,0
6/25,2011,Takotna River,Chum,Estimated,0
6/25,2011,Takotna River,Coho,Estimated,0
6/25,2012,Takotna River,Chinook,Estimated,0
6/25,2012,Takotna River,Chum,Estimated,0
6/25,2012,Takotna River,Coho,Estimated,0
6/25,2013,Takotna River,Chinook,Counted Live,0
6/25,2013,Takotna River,Chum,Counted Live,4
6/25,2013,Takotna River,Coho,Counted Live,0
6/25,2013,Takotna River,Sockeye,Counted Live,0
6/25,2017,Takotna River,Chinook,Estimated,0
6/25,2017,Takotna River,Chum,Estimated,0
6/26,1996,Takotna River,Chinook,Calculated,9
6/26,1996,Takotna River,Chum,Calculated,0
6/26,1997,Takotna River,Chinook,Calculated,24
6/26,1997,Takotna River,Chum,Calculated,12
6/26,2000,Takotna River,Chinook,Counted Live,2
6/26,2000,Takotna River,Chum,Counted Live,23
6/26,2000,Takotna River,Coho,Counted Live,0
6/26,2000,Takotna River,Sockeye,Counted Live,0
6/26,2001,Takotna River,Chinook,Counted Live,1
6/26,2001,Takotna River,Chum,Counted Live,10
6/26,2001,Takotna River,Coho,Counted Live,0
6/26,2001,Takotna River,Sockeye,Counted Live,0
6/26,2002,Takotna River,Chinook,Counted Live,0
6/26,2002,Takotna River,Chum,Counted Live,55
6/26,2002,Takotna River,Coho,Counted Live,0
6/26,2002,Takotna River,Sockeye,Counted Live,0
6/26,2003,Takotna River,Chinook,Estimated,0
6/26,2003,Takotna River,Chum,Estimated,0
6/26,2003,Takotna River,Coho,Estimated,0
6/26,2004,Takotna River,Chinook,Counted Live,3
6/26,2004,Takotna River,Chum,Counted Live,31
