date,year,location,species,type,count
6/16,2014,George River,Coho,Counted Live,0
6/16,2014,George River,Sockeye,Counted Live,0
6/16,2015,George River,Chinook,Counted Live,3
6/16,2015,George River,Chum,Counted Live,11
6/16,2015,George River,Coho,Counted Live,0
6/16,2015,George River,Sockeye,Counted Live,0
6/16,2016,George River,Chinook,Counted Live,1
6/16,2016,George River,Chum,Counted Live,5
6/16,2016,George River,Coho,Counted Live,0
6/16,2016,George River,Sockeye,Counted Live,0
6/16,2017,George River,Chinook,Counted Live,0
6/16,2017,George River,Chum,Counted Live,0
6/16,2017,George River,Coho,Counted Live,0
6/16,2017,George River,Sockeye,Counted Live,0
6/17,1996,George River,Chinook,Estimated,0
6/17,1996,George River,Chum,Estimated,37
6/17,1997,George River,Chinook,Counted Live,11
6/17,1997,George River,Chum,Counted Live,2
6/17,1997,George River,Coho,Counted Live,0
6/17,1997,George River,Sockeye,Counted Live,0
6/17,1999,George River,Chum,Estimated,0
6/17,1999,George River,Coho,Estimated,0
6/17,2000,George River,Chinook,Estimated,0
6/17,2000,George River,Chum,Estimated,0
6/17,2000,George River,Coho,Estimated,0
6/17,2000,George River,Sockeye,Counted Live,0
6/17,2001,George River,Chinook,Estimated,0
6/17,2001,George River,Chum,Estimated,0
6/17,2001,George River,Coho,Estimated,0
6/17,2002,George River,Chinook,Estimated,0
6/17,2002,George River,Chum,Estimated,0
6/17,2002,George River,Coho,Estimated,0
6/17,2003,George River,Chum,Estimated,0
6/17,2003,George River,Coho,Estimated,0
6/17,2004,George River,Chinook,Estimated,0
6/17,2004,George River,Chum,Estimated,5
6/17,2004,George River,Coho,Estimated,0
6/17,2005,George River,Chinook,Counted Live,14
6/17,2005,George River,Chum,Counted Live,7
6/17,2005,George River,Coho,Counted Live,0
6/17,2005,George River,Sockeye,Counted Live,0
6/17,2006,George River,Chinook,Counted Live,0
6/17,2006,George River,Chum,Counted Live,0
6/17,2006,George River,Coho,Counted Live,0
6/17,2006,George River,Sockeye,Counted Live,0
6/17,2007,George River,Chinook,Counted Live,0
6/17,2007,George River,Chum,Counted Live,0
6/17,2007,George River,Coho,Counted Live,0
6/17,2007,George River,Sockeye,Counted Live,0
6/17,2008,George River,Chinook,Counted Live,0
6/17,2008,George River,Chum,Counted Live,0
6/17,2008,George River,Coho,Counted Live,0
6/17,2008,George River,Sockeye,Counted Live,0
6/17,2009,George River,Chinook,Estimated,0
6/17,2009,George River,Chum,Estimated,1
6/17,2009,George River,Coho,Estimated,0
6/17,2009,George River,Sockeye,Counted Live,0
6/17,2010,George River,Chinook,Counted Live,0
6/17,2010,George River,Chum,Counted Live,0
6/17,2010,George River,Coho,Counted Live,0
6/17,2010,George River,Sockeye,Counted Live,0
6/17,2011,George River,Chinook,Counted Live,0
6/17,2011,George River,Chum,Counted Live,2
6/17,2011,George River,Coho,Counted Live,0
6/17,2011,George River,Sockeye,Counted Live,0
6/17,2012,George River,Chinook,Estimated,0
6/17,2012,George River,Chum,Estimated,0
6/17,2012,George River,Coho,Estimated,0
6/17,2013,George River,Chinook,Estimated,0
6/17,2013,George River,Chum,Estimated,0
6/17,2013,George River,Coho,Estimated,0
6/17,2014,George River,Chinook,Counted Live,0
6/17,2014,George River,Chum,Counted Live,0
6/17,2014,George River,Coho,Counted Live,0
6/17,2014,George River,Sockeye,Counted Live,0
6/17,2015,George River,Chinook,Counted Live,0
6/17,2015,George River,Chum,Counted Live,3
6/17,2015,George River,Coho,Counted Live,0
6/17,2015,George River,Sockeye,Counted Live,0
6/17,2016,George River,Chinook,Counted Live,0
