"stock","v"
"Kwethluk",0.724686759227904
"Kisaralik",0.724686759227904
"Tuluksak",0.813071452759905
"Aniak",0.909244835760244
"Holokuk",0.919742634608872
"Oskawalik",0.919742634608872
"George",0.930240433457501
"Holitna",0.94818828310193
"Kogrukluk",0.94818828310193
"Swift",0.953267863189976
"Tatlawiksuk",0.953267863189976
"Takotna",1
"Pitka",1
