"","ave_p_assess"
"1",0.532784439134398
"2",0.584759898597632
"3",0.58043986995213
"4",0.560124795752868
"5",0.493098780214406
"6",0.576743667725407
"7",0.522762176648444
"8",0.506247581215641
"9",0.540315223839935
"10",0.514845145108626
"11",0.547216531258949
"12",0.587492417362258
"13",0.568867295859077
"14",0.53591789702416
"15",0.643270946117132
"16",0.578600941204273
"17",0.539193700591652
"18",0.653591154452757
"19",0.510982642871743
"20",0.554654357046357
"21",0.589133257227462
"22",0.526928989331291
"23",0.551723782116753
"24",0.540871357801011
"25",0.610146584330719
"26",0.513393082120061
"27",0.553604966071173
"28",0.563581818144812
"29",0.601471794064923
"30",0.672601431778892
"31",0.599622179306017
"32",0.606118974441958
"33",0.585326934865359
"34",0.54458888172541
"35",0.643880595856607
"36",0.613415775801432
"37",0.479959016268144
"38",0.534456133282728
"39",0.625408673530324
"40",0.60677487635502
"41",0.54185005749538
"42",0.55282284299889
"43",0.594786295929256
"44",0.608055837128907
"45",0.605149404454201
"46",0.520742254144737
"47",0.588799240329485
"48",0.570710253134106
"49",0.518470396409056
"50",0.625564107100865
"51",0.514057211096513
"52",0.630072602431332
"53",0.479007531980642
"54",0.552108197864245
"55",0.582975004692343
"56",0.497727154561891
"57",0.529373451892841
"58",0.520343598859012
"59",0.574704040819457
"60",0.521494753988998
"61",0.533521352101714
"62",0.616537898343862
"63",0.474911546289842
"64",0.5388454651699
"65",0.579786689344132
"66",0.591424755199838
"67",0.57566078355533
"68",0.572771390727965
"69",0.531793334968587
"70",0.573887261198358
"71",0.616569307434435
"72",0.613280589829013
"73",0.596785428644972
"74",0.624899009018112
"75",0.632560539357166
"76",0.589391693735427
"77",0.586818869799884
"78",0.553568041773963
"79",0.518001528313755
"80",0.616144023708286
"81",0.575313919638597
"82",0.520323594100121
"83",0.596439562741019
"84",0.582361424603771
"85",0.496382266083515
"86",0.518395578042377
"87",0.556706094142069
"88",0.502000519711788
"89",0.619949767364853
"90",0.594536113821498
"91",0.593693750811685
"92",0.585952956547116
"93",0.515047133411552
"94",0.548174637514229
"95",0.528926750361269
"96",0.49155441799577
"97",0.546002263835854
"98",0.582767521072977
"99",0.56162899249857
"100",0.521223665696114
"101",0.524319736861307
"102",0.537934855745199
"103",0.586730376955761
"104",0.515226731239955
"105",0.620379035181511
"106",0.686455726827781
"107",0.620421017792881
"108",0.627039875568496
"109",0.626036018967839
"110",0.594440661624625
"111",0.619946230503182
"112",0.539915157036061
"113",0.457164296779471
"114",0.573743485914903
"115",0.602072297605458
"116",0.560452560458
"117",0.523362736261123
"118",0.616564464512602
"119",0.601428829470212
"120",0.602554599960982
"121",0.577540770198746
"122",0.549714003432721
"123",0.519200065950795
"124",0.417244742351531
