"stock","year","mean","sd","median","lwr95CI","upr95CI","cv","obs"
"Aniak",2008,16787.1213147072,2090.25666643205,16731.6760941412,12739.6320241726,20900.6327662069,0.12451549180149,1
"Aniak",2009,10315.6235641213,1281.98312215261,10279.8795099224,7831.26907052168,12858.1349154401,0.124275872823769,0
"Aniak",2010,4360.44628906814,546.880077037749,4349.09665236266,3294.94336538591,5437.25163477988,0.125418372520447,0
"Aniak",2011,4055.69249167425,515.704555265259,4043.91620540304,3057.88371601806,5083.12240796471,0.127155733903378,1
"Aniak",2012,4607.64198833454,583.642591104424,4594.35808835706,3478.44162577852,5763.64169890416,0.126668389727776,1
"Aniak",2013,4004.11852557531,504.175351150346,3993.57313594931,3021.69711173743,4996.74994118558,0.125914192581975,1
"Aniak",2014,16887.3535213079,2102.0388007753,16832.6625531482,12813.7212059645,21020.9806177807,0.124474139664514,1
"Aniak",2015,12060.7380732424,1491.82199585989,12027.851879783,9173.49538337021,15016.035787299,0.123692429667269,1
"Aniak",2016,6225.76010145329,768.842395733266,6204.34733466029,4735.69895278522,7729.27798008235,0.123493739431719,1
"Aniak",2017,10286.3528223918,1276.30053762084,10258.4060790068,7799.48147632689,12809.2220496423,0.124077071791912,1
"George",1976,2714,135.7,2714,2448.028,2979.972,0.05,0
"George",1977,7134,356.7,7134,6434.868,7833.132,0.05,0
"George",1978,4427,221.35,4427,3993.154,4860.846,0.05,0
"George",1979,3845,192.25,3845,3468.19,4221.81,0.05,0
"George",1980,7298,364.9,7298,6582.796,8013.204,0.05,0
"George",1981,5544,277.2,5544,5000.688,6087.312,0.05,0
"George",1982,1848,92.4,1848,1666.896,2029.104,0.05,0
"George",1983,1849,92.45,1849,1667.798,2030.202,0.05,0
"George",1984,2312,115.6,2312,2085.424,2538.576,0.05,0
"George",1985,1724,86.2,1724,1555.048,1892.952,0.05,0
"George",1986,1478,73.9,1478,1333.156,1622.844,0.05,0
"George",1987,2291,114.55,2291,2066.482,2515.518,0.05,0
"George",1988,2155,107.75,2155,1943.81,2366.19,0.05,0
"George",1989,2459,122.95,2459,2218.018,2699.982,0.05,0
"George",1990,2857,142.85,2857,2577.014,3136.986,0.05,0
"George",1991,2723,136.15,2723,2456.146,2989.854,0.05,0
"George",1992,3576,178.8,3576,3225.552,3926.448,0.05,0
"George",1993,4903,245.15,4903,4422.506,5383.494,0.05,0
"George",1994,8084,404.2,8084,7291.768,8876.232,0.05,0
"George",1995,6604,330.2,6604,5956.808,7251.192,0.05,0
"George",1996,7770,388.5,7770,7008.54,8531.46,0.05,1
